geom,lat,lon,rainfall_avg,temp_avg,soil_type,drought_frequency
POINT(-120.40000000000012 36.0),36.0,-120.40000000000012,10.22,59.05,Sandy Loam,5.0
POINT(-120.38000000000012 36.0),36.0,-120.38000000000012,15.91,67.36,Clay Loam,5.0
POINT(-120.36000000000013 36.0),36.0,-120.36000000000013,19.63,47.93,Clay Loam,5.0
POINT(-120.34000000000013 36.0),36.0,-120.34000000000013,10.9,70.14,Clay Loam,5.0
POINT(-120.32000000000014 36.0),36.0,-120.32000000000014,10.39,59.33,Clay Loam,5.0
POINT(-120.30000000000014 36.0),36.0,-120.30000000000014,14.44,48.34,Clay Loam,5.0
POINT(-120.28000000000014 36.0),36.0,-120.28000000000014,22.0,72.15,Silt,5.0
POINT(-120.26000000000015 36.0),36.0,-120.26000000000015,20.8,60.03,Silt,5.0
POINT(-120.24000000000015 36.0),36.0,-120.24000000000015,25.46,50.18,Silt,3.61
POINT(-120.22000000000016 36.0),36.0,-120.22000000000016,17.27,52.72,Silt,5.0
POINT(-120.20000000000016 36.0),36.0,-120.20000000000016,20.59,54.21,Silt,5.0
POINT(-120.18000000000016 36.0),36.0,-120.18000000000016,15.76,51.35,Peat,5.0
POINT(-120.16000000000017 36.0),36.0,-120.16000000000017,7.89,48.75,Peat,5.0
POINT(-120.14000000000017 36.0),36.0,-120.14000000000017,6.66,75.44,Peat,5.0
POINT(-120.12000000000018 36.0),36.0,-120.12000000000018,11.69,73.01,Peat,5.0
POINT(-120.10000000000018 36.0),36.0,-120.10000000000018,14.77,54.0,Peat,5.0
POINT(-120.08000000000018 36.0),36.0,-120.08000000000018,20.25,51.26,Chalky,5.0
POINT(-120.06000000000019 36.0),36.0,-120.06000000000019,15.65,72.42,Chalky,5.0
POINT(-120.04000000000019 36.0),36.0,-120.04000000000019,15.95,53.42,Chalky,5.0
POINT(-120.0200000000002 36.0),36.0,-120.0200000000002,11.86,59.51,Chalky,5.0
POINT(-120.0000000000002 36.0),36.0,-120.0000000000002,20.18,48.13,Chalky,5.0
POINT(-119.9800000000002 36.0),36.0,-119.9800000000002,15.68,61.6,Loam,5.0
POINT(-119.9600000000002 36.0),36.0,-119.9600000000002,15.86,64.13,Loam,5.0
POINT(-119.94000000000021 36.0),36.0,-119.94000000000021,14.99,74.25,Loam,5.0
POINT(-119.92000000000021 36.0),36.0,-119.92000000000021,24.03,59.85,Loam,5.0
POINT(-119.90000000000022 36.0),36.0,-119.90000000000022,5.54,61.87,Loam,5.0
POINT(-119.88000000000022 36.0),36.0,-119.88000000000022,12.84,63.42,Sandy Loam,5.0
POINT(-119.86000000000023 36.0),36.0,-119.86000000000023,5.66,65.51,Sandy Loam,5.0
POINT(-119.84000000000023 36.0),36.0,-119.84000000000023,14.88,71.71,Sandy Loam,5.0
POINT(-119.82000000000023 36.0),36.0,-119.82000000000023,20.06,65.92,Sandy Loam,5.0
POINT(-119.80000000000024 36.0),36.0,-119.80000000000024,23.39,73.28,Sandy Loam,4.75
POINT(-119.78000000000024 36.0),36.0,-119.78000000000024,19.22,49.14,Clay Loam,5.0
POINT(-119.76000000000025 36.0),36.0,-119.76000000000025,20.52,65.32,Clay Loam,5.0
POINT(-119.74000000000025 36.0),36.0,-119.74000000000025,19.48,69.96,Clay Loam,4.64
POINT(-119.72000000000025 36.0),36.0,-119.72000000000025,19.78,76.45,Clay Loam,5.0
POINT(-119.70000000000026 36.0),36.0,-119.70000000000026,6.72,52.23,Clay Loam,5.0
POINT(-119.68000000000026 36.0),36.0,-119.68000000000026,16.51,66.08,Silt,5.0
POINT(-119.66000000000027 36.0),36.0,-119.66000000000027,10.58,63.02,Silt,5.0
POINT(-119.64000000000027 36.0),36.0,-119.64000000000027,11.77,65.54,Silt,5.0
POINT(-119.62000000000027 36.0),36.0,-119.62000000000027,5.07,59.26,Silt,5.0
POINT(-119.60000000000028 36.0),36.0,-119.60000000000028,8.18,50.07,Silt,5.0
POINT(-119.58000000000028 36.0),36.0,-119.58000000000028,15.67,72.98,Peat,5.0
POINT(-119.56000000000029 36.0),36.0,-119.56000000000029,10.14,76.78,Peat,5.0
POINT(-119.54000000000029 36.0),36.0,-119.54000000000029,13.45,76.1,Peat,5.0
POINT(-119.5200000000003 36.0),36.0,-119.5200000000003,17.38,72.95,Peat,5.0
POINT(-119.5000000000003 36.0),36.0,-119.5000000000003,8.09,48.79,Peat,5.0
POINT(-119.4800000000003 36.0),36.0,-119.4800000000003,17.98,56.56,Chalky,4.78
POINT(-119.4600000000003 36.0),36.0,-119.4600000000003,8.1,53.05,Chalky,5.0
POINT(-119.44000000000031 36.0),36.0,-119.44000000000031,18.85,61.42,Chalky,5.0
POINT(-119.42000000000031 36.0),36.0,-119.42000000000031,10.3,68.91,Chalky,5.0
POINT(-119.40000000000032 36.0),36.0,-119.40000000000032,7.93,50.28,Chalky,5.0
POINT(-119.38000000000032 36.0),36.0,-119.38000000000032,8.71,66.54,Loam,5.0
POINT(-119.36000000000033 36.0),36.0,-119.36000000000033,12.96,65.07,Loam,5.0
POINT(-119.34000000000033 36.0),36.0,-119.34000000000033,19.58,67.67,Loam,5.0
POINT(-119.32000000000033 36.0),36.0,-119.32000000000033,7.33,49.5,Loam,5.0
POINT(-119.30000000000034 36.0),36.0,-119.30000000000034,11.45,57.92,Loam,5.0
POINT(-119.28000000000034 36.0),36.0,-119.28000000000034,12.89,65.2,Sandy Loam,5.0
POINT(-119.26000000000035 36.0),36.0,-119.26000000000035,18.8,77.96,Sandy Loam,5.0
POINT(-119.24000000000035 36.0),36.0,-119.24000000000035,5.0,74.42,Sandy Loam,5.0
POINT(-119.22000000000035 36.0),36.0,-119.22000000000035,5.44,54.09,Sandy Loam,5.0
POINT(-119.20000000000036 36.0),36.0,-119.20000000000036,8.56,75.15,Sandy Loam,5.0
POINT(-119.18000000000036 36.0),36.0,-119.18000000000036,14.7,55.84,Clay Loam,5.0
POINT(-119.16000000000037 36.0),36.0,-119.16000000000037,9.07,72.39,Clay Loam,5.0
POINT(-119.14000000000037 36.0),36.0,-119.14000000000037,5.0,53.31,Clay Loam,5.0
POINT(-119.12000000000037 36.0),36.0,-119.12000000000037,5.0,78.05,Clay Loam,5.0
POINT(-119.10000000000038 36.0),36.0,-119.10000000000038,10.09,53.65,Clay Loam,5.0
POINT(-119.08000000000038 36.0),36.0,-119.08000000000038,7.97,52.8,Silt,5.0
POINT(-119.06000000000039 36.0),36.0,-119.06000000000039,20.04,61.08,Silt,5.0
POINT(-119.04000000000039 36.0),36.0,-119.04000000000039,11.05,76.43,Silt,5.0
POINT(-119.0200000000004 36.0),36.0,-119.0200000000004,12.8,67.16,Silt,5.0
POINT(-119.0000000000004 36.0),36.0,-119.0000000000004,5.0,76.79,Silt,5.0
POINT(-121.0 36.02),36.02,-121.0,23.91,49.91,Clay Loam,5.0
POINT(-120.98 36.02),36.02,-120.98,25.84,63.43,Clay Loam,5.0
POINT(-120.96000000000001 36.02),36.02,-120.96000000000001,15.35,70.78,Clay Loam,5.0
POINT(-120.94000000000001 36.02),36.02,-120.94000000000001,26.9,58.55,Clay Loam,3.69
POINT(-120.92000000000002 36.02),36.02,-120.92000000000002,11.67,67.78,Clay Loam,5.0
POINT(-120.90000000000002 36.02),36.02,-120.90000000000002,10.35,55.69,Silt,5.0
POINT(-120.88000000000002 36.02),36.02,-120.88000000000002,13.69,47.65,Silt,5.0
POINT(-120.86000000000003 36.02),36.02,-120.86000000000003,15.02,73.84,Silt,5.0
POINT(-120.84000000000003 36.02),36.02,-120.84000000000003,19.26,45.44,Silt,4.31
POINT(-120.82000000000004 36.02),36.02,-120.82000000000004,27.03,51.42,Silt,3.14
POINT(-120.80000000000004 36.02),36.02,-120.80000000000004,12.0,73.78,Peat,5.0
POINT(-120.78000000000004 36.02),36.02,-120.78000000000004,25.99,65.82,Peat,5.0
POINT(-120.76000000000005 36.02),36.02,-120.76000000000005,22.39,74.39,Peat,5.0
POINT(-120.74000000000005 36.02),36.02,-120.74000000000005,25.62,58.36,Peat,5.0
POINT(-120.72000000000006 36.02),36.02,-120.72000000000006,18.87,74.68,Peat,5.0
POINT(-120.70000000000006 36.02),36.02,-120.70000000000006,15.08,71.43,Chalky,5.0
POINT(-120.68000000000006 36.02),36.02,-120.68000000000006,17.45,66.48,Chalky,5.0
POINT(-120.66000000000007 36.02),36.02,-120.66000000000007,16.45,47.11,Chalky,5.0
POINT(-120.64000000000007 36.02),36.02,-120.64000000000007,8.53,66.73,Chalky,5.0
POINT(-120.62000000000008 36.02),36.02,-120.62000000000008,27.81,56.77,Chalky,3.34
POINT(-120.60000000000008 36.02),36.02,-120.60000000000008,20.21,57.04,Loam,4.29
POINT(-120.58000000000008 36.02),36.02,-120.58000000000008,13.79,60.49,Loam,5.0
POINT(-120.56000000000009 36.02),36.02,-120.56000000000009,18.38,74.23,Loam,5.0
POINT(-120.54000000000009 36.02),36.02,-120.54000000000009,19.62,55.34,Loam,4.2
POINT(-120.5200000000001 36.02),36.02,-120.5200000000001,15.55,46.24,Loam,5.0
POINT(-120.5000000000001 36.02),36.02,-120.5000000000001,21.95,53.48,Sandy Loam,3.91
POINT(-120.4800000000001 36.02),36.02,-120.4800000000001,8.33,58.31,Sandy Loam,5.0
POINT(-120.46000000000011 36.02),36.02,-120.46000000000011,27.27,47.18,Sandy Loam,4.5
POINT(-120.44000000000011 36.02),36.02,-120.44000000000011,13.89,56.98,Sandy Loam,5.0
POINT(-120.42000000000012 36.02),36.02,-120.42000000000012,7.43,48.66,Sandy Loam,5.0
POINT(-120.40000000000012 36.02),36.02,-120.40000000000012,13.52,47.83,Clay Loam,5.0
POINT(-120.38000000000012 36.02),36.02,-120.38000000000012,21.61,68.73,Clay Loam,5.0
POINT(-120.36000000000013 36.02),36.02,-120.36000000000013,14.14,55.34,Clay Loam,5.0
POINT(-120.34000000000013 36.02),36.02,-120.34000000000013,20.95,68.56,Clay Loam,5.0
POINT(-120.32000000000014 36.02),36.02,-120.32000000000014,20.66,55.6,Clay Loam,5.0
POINT(-120.30000000000014 36.02),36.02,-120.30000000000014,10.92,66.96,Silt,5.0
POINT(-120.28000000000014 36.02),36.02,-120.28000000000014,21.07,47.46,Silt,5.0
POINT(-120.26000000000015 36.02),36.02,-120.26000000000015,7.99,64.31,Silt,5.0
POINT(-120.24000000000015 36.02),36.02,-120.24000000000015,24.48,53.04,Silt,3.58
POINT(-120.22000000000016 36.02),36.02,-120.22000000000016,18.99,61.2,Silt,4.63
POINT(-120.20000000000016 36.02),36.02,-120.20000000000016,18.06,73.75,Peat,5.0
POINT(-120.18000000000016 36.02),36.02,-120.18000000000016,24.79,56.72,Peat,3.62
POINT(-120.16000000000017 36.02),36.02,-120.16000000000017,21.43,67.04,Peat,5.0
POINT(-120.14000000000017 36.02),36.02,-120.14000000000017,11.03,46.64,Peat,5.0
POINT(-120.12000000000018 36.02),36.02,-120.12000000000018,22.2,54.89,Peat,5.0
POINT(-120.10000000000018 36.02),36.02,-120.10000000000018,6.15,72.46,Chalky,5.0
POINT(-120.08000000000018 36.02),36.02,-120.08000000000018,9.59,59.81,Chalky,5.0
POINT(-120.06000000000019 36.02),36.02,-120.06000000000019,25.34,63.32,Chalky,4.54
POINT(-120.04000000000019 36.02),36.02,-120.04000000000019,17.17,49.09,Chalky,5.0
POINT(-120.0200000000002 36.02),36.02,-120.0200000000002,25.0,62.51,Chalky,4.33
POINT(-120.0000000000002 36.02),36.02,-120.0000000000002,23.92,52.81,Loam,5.0
POINT(-119.9800000000002 36.02),36.02,-119.9800000000002,18.01,60.36,Loam,4.68
POINT(-119.9600000000002 36.02),36.02,-119.9600000000002,15.04,57.53,Loam,5.0
POINT(-119.94000000000021 36.02),36.02,-119.94000000000021,18.88,76.03,Loam,5.0
POINT(-119.92000000000021 36.02),36.02,-119.92000000000021,11.03,65.35,Loam,5.0
POINT(-119.90000000000022 36.02),36.02,-119.90000000000022,17.11,59.2,Sandy Loam,5.0
POINT(-119.88000000000022 36.02),36.02,-119.88000000000022,7.17,64.76,Sandy Loam,5.0
POINT(-119.86000000000023 36.02),36.02,-119.86000000000023,11.07,76.89,Sandy Loam,5.0
POINT(-119.84000000000023 36.02),36.02,-119.84000000000023,6.52,66.55,Sandy Loam,5.0
POINT(-119.82000000000023 36.02),36.02,-119.82000000000023,17.83,65.62,Sandy Loam,5.0
POINT(-119.80000000000024 36.02),36.02,-119.80000000000024,5.28,58.72,Clay Loam,5.0
POINT(-119.78000000000024 36.02),36.02,-119.78000000000024,19.85,72.23,Clay Loam,5.0
POINT(-119.76000000000025 36.02),36.02,-119.76000000000025,14.3,55.51,Clay Loam,5.0
POINT(-119.74000000000025 36.02),36.02,-119.74000000000025,5.0,65.38,Clay Loam,5.0
POINT(-119.72000000000025 36.02),36.02,-119.72000000000025,23.56,61.41,Clay Loam,5.0
POINT(-119.70000000000026 36.02),36.02,-119.70000000000026,20.52,53.87,Silt,5.0
POINT(-119.68000000000026 36.02),36.02,-119.68000000000026,11.92,71.75,Silt,5.0
POINT(-119.66000000000027 36.02),36.02,-119.66000000000027,16.34,57.64,Silt,5.0
POINT(-119.64000000000027 36.02),36.02,-119.64000000000027,8.41,48.66,Silt,5.0
POINT(-119.62000000000027 36.02),36.02,-119.62000000000027,15.27,56.89,Silt,5.0
POINT(-119.60000000000028 36.02),36.02,-119.60000000000028,9.49,51.66,Peat,5.0
POINT(-119.58000000000028 36.02),36.02,-119.58000000000028,11.79,76.14,Peat,5.0
POINT(-119.56000000000029 36.02),36.02,-119.56000000000029,8.4,68.76,Peat,5.0
POINT(-119.54000000000029 36.02),36.02,-119.54000000000029,19.29,59.12,Peat,4.75
POINT(-119.5200000000003 36.02),36.02,-119.5200000000003,18.87,65.26,Peat,4.57
POINT(-119.5000000000003 36.02),36.02,-119.5000000000003,14.93,57.25,Chalky,5.0
POINT(-119.4800000000003 36.02),36.02,-119.4800000000003,5.7,61.66,Chalky,5.0
POINT(-119.4600000000003 36.02),36.02,-119.4600000000003,5.0,61.74,Chalky,5.0
POINT(-119.44000000000031 36.02),36.02,-119.44000000000031,18.2,66.18,Chalky,5.0
POINT(-119.42000000000031 36.02),36.02,-119.42000000000031,14.29,59.36,Chalky,5.0
POINT(-119.40000000000032 36.02),36.02,-119.40000000000032,15.8,54.04,Loam,5.0
POINT(-119.38000000000032 36.02),36.02,-119.38000000000032,7.46,71.15,Loam,5.0
POINT(-119.36000000000033 36.02),36.02,-119.36000000000033,6.28,52.05,Loam,5.0
POINT(-119.34000000000033 36.02),36.02,-119.34000000000033,5.0,68.55,Loam,5.0
POINT(-119.32000000000033 36.02),36.02,-119.32000000000033,12.78,62.69,Loam,5.0
POINT(-119.30000000000034 36.02),36.02,-119.30000000000034,5.0,77.01,Sandy Loam,5.0
POINT(-119.28000000000034 36.02),36.02,-119.28000000000034,17.52,71.29,Sandy Loam,5.0
POINT(-119.26000000000035 36.02),36.02,-119.26000000000035,8.03,71.7,Sandy Loam,5.0
POINT(-119.24000000000035 36.02),36.02,-119.24000000000035,7.92,50.28,Sandy Loam,5.0
POINT(-119.22000000000035 36.02),36.02,-119.22000000000035,5.84,55.74,Sandy Loam,5.0
POINT(-119.20000000000036 36.02),36.02,-119.20000000000036,17.03,56.95,Clay Loam,5.0
POINT(-119.18000000000036 36.02),36.02,-119.18000000000036,5.0,58.1,Clay Loam,5.0
POINT(-119.16000000000037 36.02),36.02,-119.16000000000037,5.0,58.65,Clay Loam,5.0
POINT(-119.14000000000037 36.02),36.02,-119.14000000000037,5.0,78.3,Clay Loam,5.0
POINT(-119.12000000000037 36.02),36.02,-119.12000000000037,16.9,53.49,Clay Loam,5.0
POINT(-119.10000000000038 36.02),36.02,-119.10000000000038,19.08,73.74,Silt,5.0
POINT(-119.08000000000038 36.02),36.02,-119.08000000000038,7.81,68.53,Silt,5.0
POINT(-119.06000000000039 36.02),36.02,-119.06000000000039,19.24,49.55,Silt,5.0
POINT(-119.04000000000039 36.02),36.02,-119.04000000000039,5.47,56.96,Silt,5.0
POINT(-119.0200000000004 36.02),36.02,-119.0200000000004,6.76,78.26,Silt,5.0
POINT(-119.0000000000004 36.02),36.02,-119.0000000000004,6.77,74.8,Peat,5.0
POINT(-121.0 36.040000000000006),36.040000000000006,-121.0,15.98,55.68,Clay Loam,5.0
POINT(-120.98 36.040000000000006),36.040000000000006,-120.98,23.58,51.22,Clay Loam,4.01
POINT(-120.96000000000001 36.040000000000006),36.040000000000006,-120.96000000000001,13.1,60.82,Clay Loam,5.0
POINT(-120.94000000000001 36.040000000000006),36.040000000000006,-120.94000000000001,17.23,60.63,Silt,5.0
POINT(-120.92000000000002 36.040000000000006),36.040000000000006,-120.92000000000002,25.91,67.19,Silt,4.46
POINT(-120.90000000000002 36.040000000000006),36.040000000000006,-120.90000000000002,18.1,46.48,Silt,5.0
POINT(-120.88000000000002 36.040000000000006),36.040000000000006,-120.88000000000002,18.3,59.28,Silt,5.0
POINT(-120.86000000000003 36.040000000000006),36.040000000000006,-120.86000000000003,18.19,71.18,Silt,5.0
POINT(-120.84000000000003 36.040000000000006),36.040000000000006,-120.84000000000003,24.37,70.38,Silt,5.0
POINT(-120.82000000000004 36.040000000000006),36.040000000000006,-120.82000000000004,19.43,57.56,Peat,5.0
POINT(-120.80000000000004 36.040000000000006),36.040000000000006,-120.80000000000004,17.08,46.98,Peat,5.0
POINT(-120.78000000000004 36.040000000000006),36.040000000000006,-120.78000000000004,22.06,62.7,Peat,5.0
POINT(-120.76000000000005 36.040000000000006),36.040000000000006,-120.76000000000005,24.48,67.4,Peat,4.0
POINT(-120.74000000000005 36.040000000000006),36.040000000000006,-120.74000000000005,25.89,65.01,Peat,5.0
POINT(-120.72000000000006 36.040000000000006),36.040000000000006,-120.72000000000006,22.5,45.96,Chalky,4.14
POINT(-120.70000000000006 36.040000000000006),36.040000000000006,-120.70000000000006,15.6,57.85,Chalky,5.0
POINT(-120.68000000000006 36.040000000000006),36.040000000000006,-120.68000000000006,10.23,54.99,Chalky,5.0
POINT(-120.66000000000007 36.040000000000006),36.040000000000006,-120.66000000000007,13.64,72.24,Chalky,5.0
POINT(-120.64000000000007 36.040000000000006),36.040000000000006,-120.64000000000007,17.53,53.93,Chalky,5.0
POINT(-120.62000000000008 36.040000000000006),36.040000000000006,-120.62000000000008,16.96,47.26,Loam,5.0
POINT(-120.60000000000008 36.040000000000006),36.040000000000006,-120.60000000000008,17.89,69.23,Loam,5.0
POINT(-120.58000000000008 36.040000000000006),36.040000000000006,-120.58000000000008,12.02,46.32,Loam,5.0
POINT(-120.56000000000009 36.040000000000006),36.040000000000006,-120.56000000000009,12.47,54.02,Loam,5.0
POINT(-120.54000000000009 36.040000000000006),36.040000000000006,-120.54000000000009,20.43,47.36,Loam,5.0
POINT(-120.5200000000001 36.040000000000006),36.040000000000006,-120.5200000000001,25.17,70.93,Sandy Loam,4.35
POINT(-120.5000000000001 36.040000000000006),36.040000000000006,-120.5000000000001,24.92,61.05,Sandy Loam,4.26
POINT(-120.4800000000001 36.040000000000006),36.040000000000006,-120.4800000000001,11.48,72.74,Sandy Loam,5.0
POINT(-120.46000000000011 36.040000000000006),36.040000000000006,-120.46000000000011,18.3,57.77,Sandy Loam,5.0
POINT(-120.44000000000011 36.040000000000006),36.040000000000006,-120.44000000000011,14.1,57.94,Sandy Loam,5.0
POINT(-120.42000000000012 36.040000000000006),36.040000000000006,-120.42000000000012,14.45,69.77,Clay Loam,5.0
POINT(-120.40000000000012 36.040000000000006),36.040000000000006,-120.40000000000012,11.35,69.21,Clay Loam,5.0
POINT(-120.38000000000012 36.040000000000006),36.040000000000006,-120.38000000000012,14.75,71.86,Clay Loam,5.0
POINT(-120.36000000000013 36.040000000000006),36.040000000000006,-120.36000000000013,20.57,59.66,Clay Loam,4.58
POINT(-120.34000000000013 36.040000000000006),36.040000000000006,-120.34000000000013,10.8,75.68,Clay Loam,5.0
POINT(-120.32000000000014 36.040000000000006),36.040000000000006,-120.32000000000014,11.83,68.57,Silt,5.0
POINT(-120.30000000000014 36.040000000000006),36.040000000000006,-120.30000000000014,8.93,72.88,Silt,5.0
POINT(-120.28000000000014 36.040000000000006),36.040000000000006,-120.28000000000014,17.8,65.12,Silt,4.93
POINT(-120.26000000000015 36.040000000000006),36.040000000000006,-120.26000000000015,10.54,68.35,Silt,5.0
POINT(-120.24000000000015 36.040000000000006),36.040000000000006,-120.24000000000015,7.11,75.33,Silt,5.0
POINT(-120.22000000000016 36.040000000000006),36.040000000000006,-120.22000000000016,21.2,53.35,Peat,3.96
POINT(-120.20000000000016 36.040000000000006),36.040000000000006,-120.20000000000016,20.02,63.54,Peat,5.0
POINT(-120.18000000000016 36.040000000000006),36.040000000000006,-120.18000000000016,16.88,67.09,Peat,5.0
POINT(-120.16000000000017 36.040000000000006),36.040000000000006,-120.16000000000017,14.54,72.77,Peat,5.0
POINT(-120.14000000000017 36.040000000000006),36.040000000000006,-120.14000000000017,11.1,63.21,Peat,5.0
POINT(-120.12000000000018 36.040000000000006),36.040000000000006,-120.12000000000018,14.33,51.2,Chalky,5.0
POINT(-120.10000000000018 36.040000000000006),36.040000000000006,-120.10000000000018,8.97,63.76,Chalky,5.0
POINT(-120.08000000000018 36.040000000000006),36.040000000000006,-120.08000000000018,9.82,75.44,Chalky,5.0
POINT(-120.06000000000019 36.040000000000006),36.040000000000006,-120.06000000000019,13.38,71.12,Chalky,5.0
POINT(-120.04000000000019 36.040000000000006),36.040000000000006,-120.04000000000019,21.62,70.97,Chalky,5.0
POINT(-120.0200000000002 36.040000000000006),36.040000000000006,-120.0200000000002,11.38,76.64,Loam,5.0
POINT(-120.0000000000002 36.040000000000006),36.040000000000006,-120.0000000000002,13.54,48.02,Loam,5.0
POINT(-119.9800000000002 36.040000000000006),36.040000000000006,-119.9800000000002,16.22,50.23,Loam,5.0
POINT(-119.9600000000002 36.040000000000006),36.040000000000006,-119.9600000000002,6.33,48.7,Loam,5.0
POINT(-119.94000000000021 36.040000000000006),36.040000000000006,-119.94000000000021,16.59,58.79,Loam,5.0
POINT(-119.92000000000021 36.040000000000006),36.040000000000006,-119.92000000000021,17.51,54.37,Sandy Loam,5.0
POINT(-119.90000000000022 36.040000000000006),36.040000000000006,-119.90000000000022,13.97,75.05,Sandy Loam,5.0
POINT(-119.88000000000022 36.040000000000006),36.040000000000006,-119.88000000000022,22.69,72.21,Sandy Loam,5.0
POINT(-119.86000000000023 36.040000000000006),36.040000000000006,-119.86000000000023,11.11,71.06,Sandy Loam,5.0
POINT(-119.84000000000023 36.040000000000006),36.040000000000006,-119.84000000000023,14.15,57.35,Sandy Loam,5.0
POINT(-119.82000000000023 36.040000000000006),36.040000000000006,-119.82000000000023,12.63,60.53,Clay Loam,5.0
POINT(-119.80000000000024 36.040000000000006),36.040000000000006,-119.80000000000024,20.37,74.61,Clay Loam,5.0
POINT(-119.78000000000024 36.040000000000006),36.040000000000006,-119.78000000000024,13.5,52.75,Clay Loam,5.0
POINT(-119.76000000000025 36.040000000000006),36.040000000000006,-119.76000000000025,23.78,48.63,Clay Loam,5.0
POINT(-119.74000000000025 36.040000000000006),36.040000000000006,-119.74000000000025,15.7,66.89,Clay Loam,5.0
POINT(-119.72000000000025 36.040000000000006),36.040000000000006,-119.72000000000025,20.01,57.62,Silt,5.0
POINT(-119.70000000000026 36.040000000000006),36.040000000000006,-119.70000000000026,18.73,63.47,Silt,5.0
POINT(-119.68000000000026 36.040000000000006),36.040000000000006,-119.68000000000026,14.9,61.6,Silt,5.0
POINT(-119.66000000000027 36.040000000000006),36.040000000000006,-119.66000000000027,10.7,66.43,Silt,5.0
POINT(-119.64000000000027 36.040000000000006),36.040000000000006,-119.64000000000027,8.65,70.72,Silt,5.0
POINT(-119.62000000000027 36.040000000000006),36.040000000000006,-119.62000000000027,15.42,77.47,Peat,5.0
POINT(-119.60000000000028 36.040000000000006),36.040000000000006,-119.60000000000028,18.86,72.54,Peat,4.73
POINT(-119.58000000000028 36.040000000000006),36.040000000000006,-119.58000000000028,16.46,73.1,Peat,5.0
POINT(-119.56000000000029 36.040000000000006),36.040000000000006,-119.56000000000029,20.56,73.25,Peat,5.0
POINT(-119.54000000000029 36.040000000000006),36.040000000000006,-119.54000000000029,15.9,49.87,Peat,5.0
POINT(-119.5200000000003 36.040000000000006),36.040000000000006,-119.5200000000003,9.16,58.85,Chalky,5.0
POINT(-119.5000000000003 36.040000000000006),36.040000000000006,-119.5000000000003,9.55,53.01,Chalky,5.0
POINT(-119.4800000000003 36.040000000000006),36.040000000000006,-119.4800000000003,13.93,64.66,Chalky,5.0
POINT(-119.4600000000003 36.040000000000006),36.040000000000006,-119.4600000000003,11.86,65.51,Chalky,5.0
POINT(-119.44000000000031 36.040000000000006),36.040000000000006,-119.44000000000031,5.0,74.34,Chalky,5.0
